,fold_change,-log10(fdr_BH),Gene
102,6.688199491465907,5.122271815216173,PPM1G
146,0.08378023656597448,6.768446401370722,SYNGR2
155,0.061149658511574764,7.228210073601784,NDUFS5
213,0.04503964893041147,9.017151641085512,NDUFS6
283,0.05900019656414608,7.097792602419298,NDUFC2
331,0.13564843474647645,4.577951604319421,F2
337,0.1534541274778879,6.68746438834517,KNG1
677,0.32463000126861824,4.369897692525828,POLR2A
690,0.1296748796505379,9.524702702631522,PTX3
808,0.10251832815475197,5.76751841187046,SOAT1
946,0.10447850270210082,8.803933651590919,MRPL19
1011,0.10953849986405376,8.905818458450446,PRKX
1018,11.876160244265078,8.621244053621881,KPNA1
1128,0.014844896382501882,9.524702702631522,ARF3
1170,0.044371788211893394,8.004645966905136,SNRPF
1312,0.18310468957343204,5.417307695496056,CEBPZ
1514,0.23074144806676675,4.200562999608238,LARS2
1525,2.0115441978056823,2.398158365478191,EEA1
1545,0.14413277171882394,6.480882183719404,DHCR24
1573,0.14595351833228917,6.6221476528146095,NPTX1
1587,12.053658785282535,5.002919570875526,PPP2R5E
1593,0.09226097501957152,7.270303772761164,FXN
1628,3.8818629193593917,3.6648261863171534,PARP14
1664,0.0749581391601374,9.521171897352591,MRPL2
1688,0.16135228481371652,6.142874265485564,MFSD5
1699,3.806162458123845,4.057250907451659,SCYL2
1700,0.060836682327324705,7.228210073601784,FDX2
1715,0.10890907702093577,6.574726634658374,APOOL
1752,0.30500386483863423,5.002919570875526,WAPL
1818,0.047100807293077994,9.354344189905138,SMIM20
1821,0.04651225037108434,8.004645966905136,MRPL50
1869,7.482384921984891,6.142874265485564,DTX3L
1949,5.8484029011886705,5.284403462424666,ZNF622
1989,0.08049309185199699,7.270303772761164,SNRNP40
2000,8.52363969956251,5.763412048910454,TRIM11
2008,0.15228119571063684,4.6234855588004855,DDX27
2030,0.06832268191166399,8.250299987379647,CCDC42
2048,0.2425807922772762,5.322982781961248,ERBIN
2069,0.12618922213884437,5.571193961583288,PLIN2
2110,8.817475205569034,6.574726634658374,PELO
2218,0.20771928754293187,3.357175577513034,HEATR1
2226,5.186552973981549,9.524702702631522,SMYD3
2238,12.735164359583994,8.621244053621881,COPS7B
2247,5.629029103264573,5.533143689283111,EML4
2311,0.11129494271416109,6.942150694211184,DCAF13
2323,0.1272680444077376,5.241014881236535,RBM28
2326,0.05981547105554568,6.786371888430284,MRPL22
2398,0.02837038218235721,8.300195422579966,UQCR10
2426,0.17991570635146778,5.322982781961248,BAZ1B
2428,0.15948806633999846,4.451161452748243,MBD1
2534,0.08711836724120832,7.660976265062223,RNF115
2566,0.11273798783222214,8.004645966905136,ALG5
